NUM_SEC_ARCHIVO,FEC_OPERACION,FECHA_HORA,ESTADO_TRANSFERENCIA,ESTADO_ARCHIVO,VAL_SEGUNDOS
75189,2025-01-23 12:16:51.007,2025-01-23 14:36:04.000,ENVIADO,RECIBIDO,8352.99
75189,2025-01-23 12:29:12.570,2025-01-23 14:36:04.000,ENVIADO,RECIBIDO,7611.43
75189,2025-01-23 12:29:30.617,2025-01-23 14:36:04.000,ENVIADO,RECIBIDO,7593.38
75213,2025-01-24 07:32:30.870,2025-01-24 12:15:14.000,ENVIADO,RECIBIDO,16963.13
75213,2025-01-24 07:32:30.870,2025-01-24 12:15:14.000,ENVIADO,RECIBIDO,16963.13
75247,2025-01-27 06:57:48.123,2025-01-27 12:15:17.000,ENVIADO,RECIBIDO,19048.88
75247,2025-01-27 08:06:56.710,2025-01-27 12:15:17.000,ENVIADO,RECIBIDO,14900.29
75247,2025-01-27 08:52:10.097,2025-01-27 12:15:17.000,ENVIADO,RECIBIDO,12186.90
75247,2025-01-27 09:54:11.567,2025-01-27 12:15:17.000,ENVIADO,RECIBIDO,8465.43
75247,2025-01-27 11:02:12.703,2025-01-27 12:15:17.000,ENVIADO,RECIBIDO,4384.30
75247,2025-01-27 11:38:55.067,2025-01-27 12:15:17.000,ENVIADO,RECIBIDO,2181.93
75247,2025-01-27 11:42:20.907,2025-01-27 12:15:17.000,ENVIADO,RECIBIDO,1976.09
75247,2025-01-27 11:47:24.570,2025-01-27 12:15:17.000,ENVIADO,RECIBIDO,1672.43
75247,2025-01-27 11:56:53.757,2025-01-27 12:15:17.000,ENVIADO,RECIBIDO,1103.24
75258,2025-01-27 13:11:29.063,2025-01-27 14:36:03.000,ENVIADO,RECIBIDO,5073.94
75258,2025-01-27 13:14:52.437,2025-01-27 14:36:03.000,ENVIADO,RECIBIDO,4870.56
75258,2025-01-27 13:34:13.537,2025-01-27 14:36:03.000,ENVIADO,RECIBIDO,3709.46
75258,2025-01-27 13:38:09.350,2025-01-27 14:36:03.000,ENVIADO,RECIBIDO,3473.65
75258,2025-01-27 13:41:09.627,2025-01-27 14:36:03.000,ENVIADO,RECIBIDO,3293.37
75258,2025-01-27 13:43:44.810,2025-01-27 14:36:03.000,ENVIADO,RECIBIDO,3138.19
75281,2025-01-28 06:28:34.793,2025-01-28 12:15:16.000,ENVIADO,RECIBIDO,20801.21
75281,2025-01-28 08:48:33.177,2025-01-28 12:15:16.000,ENVIADO,RECIBIDO,12402.82
75281,2025-01-28 10:25:37.223,2025-01-28 12:15:16.000,ENVIADO,RECIBIDO,6578.78
75281,2025-01-28 11:19:05.527,2025-01-28 12:15:16.000,ENVIADO,RECIBIDO,3370.47
75281,2025-01-28 11:25:54.393,2025-01-28 12:15:16.000,ENVIADO,RECIBIDO,2961.61
75281,2025-01-28 11:30:39.370,2025-01-28 12:15:16.000,ENVIADO,RECIBIDO,2676.63
75281,2025-01-28 11:41:41.837,2025-01-28 12:15:16.000,ENVIADO,RECIBIDO,2014.16
75281,2025-01-28 11:49:47.973,2025-01-28 12:15:16.000,ENVIADO,RECIBIDO,1528.03
75281,2025-01-28 11:50:37.943,2025-01-28 12:15:16.000,ENVIADO,RECIBIDO,1478.06
75292,2025-01-28 12:00:34.730,2025-01-28 14:36:06.000,ENVIADO,RECIBIDO,9331.27
75292,2025-01-28 12:53:37.257,2025-01-28 14:36:06.000,ENVIADO,RECIBIDO,6148.74
75292,2025-01-28 14:03:48.007,2025-01-28 14:36:06.000,ENVIADO,RECIBIDO,1937.99
75292,2025-01-28 14:07:46.323,2025-01-28 14:36:06.000,ENVIADO,RECIBIDO,1699.68
75314,2025-01-29 09:51:48.793,2025-01-29 12:15:15.000,ENVIADO,RECIBIDO,8606.21
75314,2025-01-29 09:53:55.703,2025-01-29 12:15:15.000,ENVIADO,RECIBIDO,8479.30
75314,2025-01-29 10:21:31.003,2025-01-29 12:15:15.000,ENVIADO,RECIBIDO,6824.00
75314,2025-01-29 11:23:46.807,2025-01-29 12:15:15.000,ENVIADO,RECIBIDO,3088.19
75314,2025-01-29 11:47:46.603,2025-01-29 12:15:15.000,ENVIADO,RECIBIDO,1648.40
75314,2025-01-29 11:55:06.657,2025-01-29 12:15:15.000,ENVIADO,RECIBIDO,1208.34
75325,2025-01-29 13:18:40.297,2025-01-29 14:36:03.000,ENVIADO,RECIBIDO,4642.70
75325,2025-01-29 13:26:52.180,2025-01-29 14:36:03.000,ENVIADO,RECIBIDO,4150.82
75325,2025-01-29 13:45:01.673,2025-01-29 14:36:03.000,ENVIADO,RECIBIDO,3061.33
75325,2025-01-29 14:12:03.167,2025-01-29 14:36:03.000,ENVIADO,RECIBIDO,1439.83
75349,2025-01-30 11:20:29.523,2025-01-30 12:15:15.000,ENVIADO,RECIBIDO,3285.48
75349,2025-01-30 11:20:29.523,2025-01-30 12:15:15.000,ENVIADO,RECIBIDO,3285.48
75360,2025-01-30 12:26:02.380,2025-01-30 14:36:05.000,ENVIADO,RECIBIDO,7802.62
75360,2025-01-30 12:26:50.150,2025-01-30 14:36:05.000,ENVIADO,RECIBIDO,7754.85
75360,2025-01-30 13:42:44.210,2025-01-30 14:36:05.000,ENVIADO,RECIBIDO,3200.79
75383,2025-01-31 09:14:12.773,2025-01-31 12:15:18.000,ENVIADO,RECIBIDO,10865.23
75383,2025-01-31 09:14:12.773,2025-01-31 12:15:18.000,ENVIADO,RECIBIDO,10865.23
75394,2025-01-31 12:01:18.397,2025-01-31 14:36:06.000,ENVIADO,RECIBIDO,9287.60
75394,2025-01-31 12:34:31.683,2025-01-31 14:36:06.000,ENVIADO,RECIBIDO,7294.32
75394,2025-01-31 13:42:33.227,2025-01-31 14:36:06.000,ENVIADO,RECIBIDO,3212.77
75394,2025-01-31 13:50:24.380,2025-01-31 14:36:06.000,ENVIADO,RECIBIDO,2741.62
75417,2025-02-03 11:35:24.373,2025-02-03 12:15:14.000,ENVIADO,RECIBIDO,2389.63
75417,2025-02-03 11:35:24.373,2025-02-03 12:15:14.000,ENVIADO,RECIBIDO,2389.63
75429,2025-02-03 13:08:26.567,2025-02-03 14:36:03.000,ENVIADO,RECIBIDO,5256.43
75429,2025-02-03 13:08:26.567,2025-02-03 14:36:03.000,ENVIADO,RECIBIDO,5256.43
75452,2025-02-04 00:44:14.737,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,41460.26
75452,2025-02-04 07:51:32.143,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,15822.86
75452,2025-02-04 08:44:05.953,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,12669.05
75452,2025-02-04 08:57:06.533,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,11888.47
75452,2025-02-04 09:07:54.267,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,11240.73
75452,2025-02-04 09:55:31.297,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,8383.70
75452,2025-02-04 10:03:42.107,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,7892.89
75452,2025-02-04 10:22:42.837,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,6752.16
75452,2025-02-04 10:26:31.647,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,6523.35
75452,2025-02-04 10:28:37.820,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,6397.18
75452,2025-02-04 11:18:45.993,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,3389.01
75452,2025-02-04 11:21:01.020,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,3253.98
75452,2025-02-04 11:25:37.737,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,2977.26
75452,2025-02-04 11:42:01.193,2025-02-04 12:15:15.000,ENVIADO,RECIBIDO,1993.81
75464,2025-02-04 12:54:32.483,2025-02-04 14:36:03.000,ENVIADO,RECIBIDO,6090.52
75464,2025-02-04 12:54:32.483,2025-02-04 14:36:03.000,ENVIADO,RECIBIDO,6090.52
75488,2025-02-05 03:41:52.400,2025-02-05 12:15:12.000,ENVIADO,RECIBIDO,30799.60
75488,2025-02-05 03:41:52.400,2025-02-05 12:15:12.000,ENVIADO,RECIBIDO,30799.60
75499,2025-02-05 12:29:13.300,2025-02-05 14:36:03.000,ENVIADO,RECIBIDO,7609.70
75499,2025-02-05 13:08:23.077,2025-02-05 14:36:03.000,ENVIADO,RECIBIDO,5259.92
75499,2025-02-05 13:29:08.517,2025-02-05 14:36:03.000,ENVIADO,RECIBIDO,4014.48
75499,2025-02-05 13:35:06.493,2025-02-05 14:36:03.000,ENVIADO,RECIBIDO,3656.51
75522,2025-02-06 07:23:20.470,2025-02-06 12:15:14.000,ENVIADO,RECIBIDO,17513.53
75522,2025-02-06 07:59:20.377,2025-02-06 12:15:14.000,ENVIADO,RECIBIDO,15353.62
75522,2025-02-06 10:06:50.337,2025-02-06 12:15:14.000,ENVIADO,RECIBIDO,7703.66
75522,2025-02-06 10:07:59.470,2025-02-06 12:15:14.000,ENVIADO,RECIBIDO,7634.53
75522,2025-02-06 10:19:14.540,2025-02-06 12:15:14.000,ENVIADO,RECIBIDO,6959.46
75522,2025-02-06 10:27:34.230,2025-02-06 12:15:14.000,ENVIADO,RECIBIDO,6459.77
75522,2025-02-06 10:48:41.757,2025-02-06 12:15:14.000,ENVIADO,RECIBIDO,5192.24
75534,2025-02-06 14:15:41.907,2025-02-06 14:36:03.000,ENVIADO,RECIBIDO,1221.09
75534,2025-02-06 14:15:41.907,2025-02-06 14:36:03.000,ENVIADO,RECIBIDO,1221.09
75556,2025-02-07 09:10:17.397,2025-02-07 12:15:13.000,ENVIADO,RECIBIDO,11095.60
75556,2025-02-07 09:32:29.500,2025-02-07 12:15:13.000,ENVIADO,RECIBIDO,9763.50
75556,2025-02-07 10:10:29.873,2025-02-07 12:15:13.000,ENVIADO,RECIBIDO,7483.13
75556,2025-02-07 10:48:03.920,2025-02-07 12:15:13.000,ENVIADO,RECIBIDO,5229.08
75556,2025-02-07 11:01:34.747,2025-02-07 12:15:13.000,ENVIADO,RECIBIDO,4418.25
75556,2025-02-07 11:23:22.747,2025-02-07 12:15:13.000,ENVIADO,RECIBIDO,3110.25
75556,2025-02-07 11:28:13.670,2025-02-07 12:15:13.000,ENVIADO,RECIBIDO,2819.33
75556,2025-02-07 11:35:31.107,2025-02-07 12:15:13.000,ENVIADO,RECIBIDO,2381.89
75567,2025-02-07 13:05:10.307,2025-02-07 14:36:04.000,ENVIADO,RECIBIDO,5453.69
75567,2025-02-07 13:29:07.157,2025-02-07 14:36:04.000,ENVIADO,RECIBIDO,4016.84
75589,2025-02-10 08:11:37.807,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,14622.19
75589,2025-02-10 08:52:17.057,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,12182.94
75589,2025-02-10 09:20:45.437,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,10474.56
75589,2025-02-10 09:42:32.793,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,9167.21
75589,2025-02-10 10:30:20.323,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,6299.68
75589,2025-02-10 10:36:54.610,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,5905.39
75589,2025-02-10 10:45:59.580,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,5360.42
75589,2025-02-10 10:48:11.563,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,5228.44
75589,2025-02-10 11:36:43.760,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,2316.24
75589,2025-02-10 11:37:32.660,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,2267.34
75589,2025-02-10 11:41:37.040,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,2022.96
75589,2025-02-10 11:42:46.757,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,1953.24
75589,2025-02-10 11:59:40.643,2025-02-10 12:15:20.000,ENVIADO,RECIBIDO,939.36
75600,2025-02-10 12:30:08.267,2025-02-10 14:36:04.000,ENVIADO,RECIBIDO,7555.73
75623,2025-02-11 11:08:52.187,2025-02-11 12:15:12.000,ENVIADO,RECIBIDO,3979.81
75623,2025-02-11 11:08:52.187,2025-02-11 12:15:12.000,ENVIADO,RECIBIDO,3979.81
75634,2025-02-11 12:05:05.397,2025-02-11 14:36:03.000,ENVIADO,RECIBIDO,9057.60
