ID_TRANSACCION,IND_TRANSACCION,IND_ESTADO_OPERACION,FEC_OPERACION_CCE,FEC_RESPUESTA_CCE,FEC_REGISTRO,FEC_MODIFICO,VAL_SEGUNDOS_CCE,VAL_SEGUNDOS_CMACT
2275,SALIENTE,F,2025-11-04 09:50:15.000,2025-11-04 09:50:16.000,2025-11-04 09:50:15.847,2025-11-04 09:50:16.573,1.00,0.73
2277,SALIENTE,F,2025-11-04 10:45:38.000,2025-11-04 10:45:38.000,2025-11-04 10:45:38.080,2025-11-04 10:45:39.277,0.00,1.20
2278,SALIENTE,F,2025-11-04 10:49:37.000,2025-11-04 10:49:38.000,2025-11-04 10:49:37.877,2025-11-04 10:49:38.537,1.00,0.66
2292,SALIENTE,F,2025-11-04 12:39:23.000,2025-11-04 12:39:24.000,2025-11-04 12:39:23.783,2025-11-04 12:39:24.543,1.00,0.76
2293,SALIENTE,F,2025-11-04 12:39:58.000,2025-11-04 12:39:58.000,2025-11-04 12:39:58.387,2025-11-04 12:39:59.040,0.00,0.65
2294,SALIENTE,F,2025-11-04 12:40:53.000,2025-11-04 12:40:53.000,2025-11-04 12:40:53.367,2025-11-04 12:40:54.130,0.00,0.76
2298,SALIENTE,F,2025-11-04 13:05:03.000,2025-11-04 13:05:04.000,2025-11-04 13:05:03.723,2025-11-04 13:05:04.443,1.00,0.72
2299,SALIENTE,F,2025-11-04 13:19:28.000,2025-11-04 13:19:35.000,2025-11-04 13:19:28.923,2025-11-04 13:19:29.820,7.00,0.90
2302,SALIENTE,F,2025-11-04 14:14:43.000,2025-11-04 14:14:43.000,2025-11-04 14:14:43.257,2025-11-04 14:14:43.893,0.00,0.64
2304,SALIENTE,F,2025-11-04 14:31:19.000,2025-11-04 14:31:19.000,2025-11-04 14:31:19.103,2025-11-04 14:31:19.820,0.00,0.72
2305,SALIENTE,F,2025-11-04 14:39:04.000,2025-11-04 14:39:04.000,2025-11-04 14:39:04.370,2025-11-04 14:39:05.297,0.00,0.93
2307,SALIENTE,F,2025-11-04 14:42:43.000,2025-11-04 14:42:43.000,2025-11-04 14:42:43.180,2025-11-04 14:42:43.927,0.00,0.75
2309,SALIENTE,F,2025-11-04 15:09:38.000,2025-11-04 15:09:39.000,2025-11-04 15:09:38.400,2025-11-04 15:09:39.663,1.00,1.26
2310,SALIENTE,F,2025-11-04 15:14:24.000,2025-11-04 15:14:24.000,2025-11-04 15:14:24.227,2025-11-04 15:14:25.020,0.00,0.79
2316,SALIENTE,F,2025-11-04 16:35:33.000,2025-11-04 16:35:34.000,2025-11-04 16:35:33.393,2025-11-04 16:35:34.520,1.00,1.13
2318,SALIENTE,F,2025-11-04 16:50:33.000,2025-11-04 16:50:34.000,2025-11-04 16:50:33.930,2025-11-04 16:50:34.907,1.00,0.98
2319,SALIENTE,F,2025-11-04 16:52:25.000,2025-11-04 16:52:25.000,2025-11-04 16:52:25.133,2025-11-04 16:52:25.843,0.00,0.71
2282,SALIENTE,F,2025-11-04 11:09:59.000,2025-11-04 11:10:00.000,2025-11-04 11:09:59.843,2025-11-04 11:10:00.620,1.00,0.78
